text,sentiment,source,dataset,datasource
take star war movie remove sense humor adventurous fun might something look like netflix space opus rebel moon,0,original,rotten-tomatoes_critics,slow
lovely hand drawn aesthetic modern meticulous take old school design monster boy smart delightful game fitting tribute exemplary example new breed side scrolling adventure game,2,original,metacritic_critic,slow
incremental change right place court coupled comprehensive dynasty mode make sport game beat foreseeable future dec p,2,original,metacritic_critic,slow
director night shyamalan rare bit fun great showcase josh hartnett similarly living serial killer trying evade police packed concert thing go rail final act,1,original,rotten-tomatoes_critics,slow
plot alone worth price admission fantastic audio visual design fundamentally brilliant battle system rather unexpected wii u exclusive rank amongst finest jrpgs generation genuinely unique curio wii u owner try,1,original,metacritic_critic,slow
since fan square enix gone back old school final fantasy franchise not type hd rpg master class sure brings back lost magic final fantasy series despite combat real time type hd final fantasy fabula nova crystallis series,2,original,metacritic_critic,slow
come frenetic world arcade shooter aporia might good excuse start new fascinating gaming experience,1,original,metacritic_critic,slow
biggest problem visually unappealing cinematic version wicked handle tonal shift authoritarianism broad comedy make strange uneasy bedfellow,1,original,rotten-tomatoes_critics,slow
fly moon thoroughly enjoyable not overly slick trip outer space,1,original,rotten-tomatoes_critics,slow
keke palmer sza natural charisma chemistry carry often funny number buddy comedy,1,original,rotten-tomatoes_critics,slow
control freak best val dig past confronts demon inside one see front,1,original,rotten-tomatoes_critics,slow
conclave may afraid get dirty say something new self seriousness bolster pulpy thriller enough entertainment,1,original,rotten-tomatoes_critics,slow
tale berseria feel like tale game made many game series never play character narrative combat mechanic berseria click taste well lack gameplay innovation might turn classic tale gameplay system combined unique narrative led fantastic experience fan new old would disservice check game,1,original,metacritic_critic,slow
nhl another strong entry underrated sport gaming franchise ea delivered rewarding franchise mode added new way play minimum sustaining mode formula success lack progress customization single player mode presentation keep monumental step franchise,2,original,metacritic_critic,slow
quotation forthcoming,2,original,metacritic_critic,slow
ubisoft massive tom clancy division best game french company made far generation demonstrates console also great place mmos downgrade soon forgotten stop delight imposing beautiful time chaotic new york gameplay mechanic roll already trapped stop completed every single challenge,2,original,metacritic_critic,slow
must buy match genre fan ironcast game enjoy playing battle war machine use resource right think twice next move good recipe roguelike title playing long night,1,original,metacritic_critic,slow
watching movie feel like plopping couch series finale three season miniseries begin asking roommate significant give plot recap,0,original,rotten-tomatoes_critics,slow
really good compilation retro game made sega includes classic hit like sonic hedgehog puyo puyo,1,original,metacritic_critic,slow
solo beautiful charming absorbing peaceful puzzle adventure hindered little bit pacing feel great play,1,original,metacritic_critic,slow
despite new setting obvious start made game enjoyed gothic risen series probably fun elex used turning blind eye numerous problem infesting piranha byte title give story enough time pick speed beginning painfully slow boring p,0,original,metacritic_critic,slow
batman akrham vr great way intimately experience rocksteady universe search clue brief mystery however world character around largely rigid unresponsive action leaf lot table game character known much brawn brain,1,original,metacritic_critic,slow
longlegs boast perfectly odd performance nicolas cage story left wanting,1,original,rotten-tomatoes_critics,slow
ten year serious sam series strong symptom fatigue gameplay bfe frenetic old school fps lack innovation penalizes title released fan franchise,0,original,metacritic_critic,slow
even passing interest williams life curious see musical biopic self aware angle film offer profound insight audience relationship celebrity,1,original,rotten-tomatoes_critics,slow
film affable nature sheer charisma oozing pine grant intoxicating overall sense quite gel engine revving never hitting speed seems capable,1,original,rotten-tomatoes_critics,slow
approached title low expectation seeing break initial preconception falling miserably due horrible ending limited duration choice game design anything brilliant painful,0,original,metacritic_critic,slow
call juarez gunslinger funny game satisfying romp clearly influenced idea unique little spin fully admit went expecting another damp squib came away thoroughly impressed,2,original,metacritic_critic,slow
need speed payback mixed bag one one hand fun arcade racer great customization wide range car race style truly great single player moment yet hand holding underwhelming multiplayer experience lather rinse repeat story mission awkward storytelling pacing nfs never seems hit top gear goal capture glory old day,0,original,metacritic_critic,slow
not give u rewarding engaging way see horror war pertains particular likable cast character also educates u one significant event history ubisoft montpellier could delivered good game called day went beyond call duty add context proceeding quite commendable effort,2,original,metacritic_critic,slow
incredibly charismatic elegant game stand mixing playability aesthetic really organic way,1,original,metacritic_critic,slow
captaining spaceship dream many gamers year ftl pull near perfectly difficulty randomness repetition rougelikes scare away ftl give experience find anywhere else,2,original,metacritic_critic,slow
halo guardian massive game intend keep playing foreseeable future part let u particularly story hard feel stung much fun halo lot prove seems fully capable pleasure seeing series top form,2,original,metacritic_critic,slow
clap hanz effort evolve everybody golf successful way thinking outside box ton mode enough keep player coming back keeping challenging addicting gameplay everybody golf manages blend frustration enjoyment successfully online aspect no hiccup easy play people turf war extremely hectic fun time clap hanz took full advantage technology offer create biggest leap series offering fresh new innovation not mention literally fish,1,original,metacritic_critic,slow
like new wrestler getting push fan determine series succeeds fails april,0,original,metacritic_critic,slow
end moana still fun high energy ride younger audience likely enjoy,1,original,rotten-tomatoes_critics,slow
josh hartnett solid ariel donoghue delivers polished performance concert scene look authentic plot start descending cheesy pop abyss third act save hit paydirt,2,original,rotten-tomatoes_critics,slow
first debut new platform monster hunter world display excellence every hunt new change great evolution series get new player first taste hunting veteran player look forward seeing old nemesis high rank hunt,2,original,metacritic_critic,slow
final station break mold nor revolutionary gameplay idea fun good old fashioned quality fun,2,original,metacritic_critic,slow
sonic mania plus excellent game made fan fan,2,original,metacritic_critic,slow
port original release justice banner saga much wonderful experience pc,1,original,metacritic_critic,slow
quotation forthcoming,0,original,metacritic_critic,slow
simply put invisible sign one worst movie seen long time,0,original,rotten-tomatoes_critics,slow
definitive collection amnesia game even without new content graphic upgrade title saga still terrifying simply must buy fan genre,1,original,metacritic_critic,slow
no area survive really stumble plenty area shine combat flow well though ranged seems better idea melee enemy variety keep thing becoming stale,2,original,metacritic_critic,slow
mufasa lion king might not become beloved classic like original animation barry jenkins company bring best effort,1,original,rotten-tomatoes_critics,slow
lot fun plenty laugh action heart whole family fan franchise jim carrey mvp time doble duty best entry yet full review spanish,1,original,rotten-tomatoes_critics,slow
runaway jury may curdle sentimental message mongering closing minute pungent potboiler cooked skilled professional,2,original,rotten-tomatoes_critics,slow
hard time understanding sleeping dog needed ported xbox one playstation square enix calling game definitive edition collect game considerable post release content including trio story driven add ons one convenient place laudable core game changed much perfect begin expression wart leap mind,0,original,metacritic_critic,slow
usual remaster game better could remembered,1,original,metacritic_critic,slow
conan exile rubbed bit thanks friction cumbersome aspect remains genuinely engrossing experience play find spot queue,0,original,metacritic_critic,slow
vanishingly rare entity riotously entertaining family friendly film painfully squeezed comic book franchise like last forlorn dreg toothpaste long dead tube,2,original,rotten-tomatoes_critics,slow
ultimately forgettable attempt blending action romance proving genre mashups rarely deliver knockout,0,original,rotten-tomatoes_critics,slow
patently absurd thriller strain credulity strangles wrap plastic leaf rotting dumpster,0,original,rotten-tomatoes_critics,slow
many flaw predecessor corrected mufasa lion king film necessarily masterpiece least superior something like moana full review spanish,1,original,rotten-tomatoes_critics,slow
verdun interesting shooter depicts mechanic trench war better wait developer polish game lining suicide attack,0,original,metacritic_critic,slow
sound freedom blow mind may disorientating lack dramatic arc learning msm apparently want know,1,original,rotten-tomatoes_critics,slow
mario tennis ace herald come sport game nintendo switch fan golf baseball soccer sport reason get excited,1,original,metacritic_critic,slow
not best remake time good one case three player coop one best feature soundtrack old new arranged one superb new graphic averaged though,1,original,metacritic_critic,slow
ride really come alive person tarmac aug p,0,original,metacritic_critic,slow
took couple good session play everything katamari damacy reroll offer vast majority six seven hour spent enormous grin face head nodding along incredibly catchy eclectic score katamari damacy breath fresh air first release still today almost year later,2,original,metacritic_critic,slow
hatoful boyfriend holiday star click way several absurd linear story pigeon,0,original,metacritic_critic,slow
film biggest thrill watching formation uncompromising artist getting little taste must like wander gerde folk city random night see young man snap cap change world,1,original,rotten-tomatoes_critics,slow
even greatest showman director michael gracey created fun bombastic brilliant choreographed totally enthralling film,2,original,rotten-tomatoes_critics,slow
game shine year ago combining nostalgia modernity,2,original,metacritic_critic,slow
nier automaton absolute masterclass game design surpasses expectation time time resulting experience not missed fan action title,2,original,metacritic_critic,slow
experiment remains interest something filed away curious technical exercise soderbergh operating lower level still higher many peer,1,original,rotten-tomatoes_critics,slow
sure choice mechanic hold especially first game price fan series people looking try series first time get lot money,1,original,metacritic_critic,slow
script equal part juicy loose hand scott derrickson gorge ultimately worth gorging oneself,1,original,rotten-tomatoes_critics,slow
would go back battle beyond star find another star war paraphrase remake us derivation strategic method board ready time,2,original,rotten-tomatoes_critics,slow
fun play friend co op mode hour two game lack content interessting much longer really already end diversity broader range possible tactic would nice,0,original,metacritic_critic,slow
samorost frustrating beautiful take interesting idea gorgeous environment fantastic soundscape applies gameplay formula work quite well short playtime weak motivation not much reason embark journey world,0,original,metacritic_critic,slow
poor pacing clumsy scriptwriting overall lack polish even indie standard make easy bow monster sink claw,0,original,metacritic_critic,slow
big action scene character interplay war rohirrim fan friendly faithful lord ring lore created j r r tolkien visually combining look peter jackson film style anime,1,original,rotten-tomatoes_critics,slow
yakuza kiwami represents solid reimagining kamurocho old,1,original,metacritic_critic,slow
blood bowl step forward much friendlier easier game predecessor improved look tutorial campaign controller support ui improvement new player feel blocked enjoying,1,original,metacritic_critic,slow
engrossing world compelling narrative character witcher one best game year witcher must role playing genre fan gamers general experience missed,2,original,metacritic_critic,slow
time superstar saga joy filled hearty laugh exciting bos encounter even though say whether remake worth revisiting finished original back gba say confidence missed first time around certainly good time,2,original,metacritic_critic,slow
ryse represents wrong current aaa videogame model epic superfluous main game mechanic shallow boring plot full hollywood clichés end feel like marketing tool real effort provide gamers something meaningful value,0,original,metacritic_critic,slow
echo offer something think anything else done creepy imaginative despite flaw come limited budget offer lot engaging memorable unique moment,2,original,metacritic_critic,slow
timothee chalamet give outstanding performance dylan never felt like transformation impersonation rather channeling dylan,2,original,rotten-tomatoes_critics,slow
sometimes film without baggage not quite soar least make gate time,0,original,rotten-tomatoes_critics,slow
new pe significant step forward term gameplay defensive action minor flaw unnecessary solution allow easily gain field opponent side pity developer decided introduce simplification offensive action dozen goal faulty opponent defensive thing want see,1,original,metacritic_critic,slow
daylight claim fame reported replay value no scare ever twice technically true level geometry change playthrough playthrough scare certainly see overlap writing worth return visit no nascent idea daylight desperate flailing attempt throw every horror cliché wall,0,original,metacritic_critic,slow
deep water make difficult viewer gravitate toward either lead character beyond mystery never compelling enough care,0,original,rotten-tomatoes_critics,slow
late shift excellent fmv game unique point interactive cinema vastly interesting new way allow viewer change outcome movie watching odd position trying sell neither movie game time interested see late shift impact future medium might flash pan end one day oscar nominated film also game year contender safely say late shift seen original piece interactive cinema provided catalyst potential combined medium future,2,original,metacritic_critic,slow
well made managed tactical experience battletech perfect newcomer veteran mech warfare getting initial information hump occasional mech lost seemingly random chance bit daunting enough action meaty mercenary sim make getting rough patch worth mean someone save reach,1,original,metacritic_critic,slow
film adorned truth truth art humanity society power true currency matter evil infectious pervasive,1,oversampled,rotten-tomatoes_critics,slow
titalfall exactly wanted two year ago full game entertaining offer interesting addition titan singleplayer short sweet multiplayer even better excellent first titanfall,2,original,metacritic_critic,slow
littlebigplanet vita true sequel littlebigplanet touch tilt functionality offer new way create level option make io style minigames give littlebigplanet endless amount level game fact not possible play one seven million littlebigplanet level made bit bummer,2,original,metacritic_critic,slow
secret world legend far perfect certainly captivating storytelling unsurpassed mmo genre feature incredibly compelling narrative development set atmospheric world without problem dull best combat system irritating limitation number quest carry looking unique interesting story game long live flaw,1,original,metacritic_critic,slow
perhaps spirit game lot exposition get pine charm go long way,1,original,rotten-tomatoes_critics,slow
like journey limbo far stand combination art sound design embedded beautifully crafted story,2,original,metacritic_critic,slow
new bell n whistle add much something good broke fix,2,original,metacritic_critic,slow
wolf among u still enjoyable season telltale walking dead taste already gone two installment play,0,original,metacritic_critic,slow
may sound depressingly familiar obvious something daring way fargeat contorts monstrous pressure placed woman conform via cosmetic surgery discomforting darkly fascinating fairytale,2,original,rotten-tomatoes_critics,slow
like third line grinder nhl little thing right improved ice play make hockey game viable option puckheads lack mode depth standout feature ultimately keep year installment earning ice time,1,original,metacritic_critic,slow
evil within improves lot first title better graphic action element open level design nevertheless remains faithful original formula excellent job blending narrative gameplay aesthetic order create robust challenging horror game,2,original,metacritic_critic,slow
fun long best not think hard,1,original,rotten-tomatoes_critics,slow
endless legend not fast game prefer game deep thoughtful game put brain task,2,original,metacritic_critic,slow
near magnificent production punctuated career defining performance erivo grande left dying see elphaba glinda relationship head next wicked bad never felt good,2,original,rotten-tomatoes_critics,slow
gundam versus okish actually pretty fun played friend manipulative roster lackluster single player content connection issue end annoying even hardcore fan franchise,0,original,metacritic_critic,slow
carefully crafted anime legendary music much needed main character like héra lord ring war rohirrim recapture best spirit original film trilogy full review spanish,2,original,rotten-tomatoes_critics,slow
aragami well designed fun challenging stealth game minus bug solid entry stealth genre,1,original,metacritic_critic,slow
another expansion de sims time add lot realism make kind cool still feel like bit trick make money developer,0,original,metacritic_critic,slow
gladiator ii scott throw everything screen ensure viewer suitably entertained expect dwell lot long end,1,original,rotten-tomatoes_critics,slow
unfortunately mechanic shallow mixed love franchise go back playing sonic mania,0,original,metacritic_critic,slow
better farming simulation jrpgs nintendo generally enjoyed time exploring harvesting killing thing could not escape feeling done better individual example genre system,0,original,metacritic_critic,slow
tribe ascend not excellent first person shooter right well orchestrated revival franchise never got recognition deserves whether lucky time say give go lost anything literally,1,original,metacritic_critic,slow
attempting alleviate sense crushing overwhelming tedium flashy visuals stylish action sequence far like giving cpr corpse,0,original,rotten-tomatoes_critics,slow
lightens story consequence action allows much liberated approach gameplay found gleefully slaughtering guard creeping around corner,2,original,metacritic_critic,slow
bizarre trip twin peak x file collective sub consciousness whole adventure genre initial storyline discourage someone persistent player rewarded truly unique experience issue,0,original,metacritic_critic,slow
bite sized metroid like experience xeodrifter fun exploration heavy adventure start finish,2,original,metacritic_critic,slow
lukewarm dramedy ok teen lack power,0,original,rotten-tomatoes_critics,slow
happily watch younger family member certainly something say every kid movie,1,original,rotten-tomatoes_critics,slow
blood drive mark largely transitional time series despite minor flaw still manages shining example genre provides satisfying end heavenly host saga endured decade,1,original,metacritic_critic,slow
enjoyable mostly persona heritage issue p,0,original,metacritic_critic,slow
brief gentle puzzle adventure tinged melancholy issue p,1,original,metacritic_critic,slow
forced mix hack n slash puzzle job rather effective way enjoy coop mode player solo mode beware frustration game extremely difficult,0,original,metacritic_critic,slow
donkey kong country return good port great game minor graphical downgrade price pay overall better version precise control nice new content,2,original,metacritic_critic,slow
livelock title going move genre forward great example genre representing anyone enjoys brand action find spending time metallic trio savior worthwhile,1,original,metacritic_critic,slow
promising implementation warhammer universe collapse countless technical issue current state space hulk deathwing suggested die hard fan franchise willing tolerate unfinished product,0,original,metacritic_critic,slow
like part test primarily thinking capability without resorting hard accomplish time ducking jumping exercise increase game difficulty visuals shiver spine creepy first last though two point not far apart enjoyed time limbo,2,original,metacritic_critic,slow
considering signature number called defying gravity unfortunate wicked buoyancy grand piano heaved roof st paul cathedral,0,original,rotten-tomatoes_critics,slow
despite overall feeling familiarity dishonored delivers impressive sense variety atmosphere game sits among best gaming title,2,original,metacritic_critic,slow
simple platform game clearly thought mobile gaming not completely suited home console nevertheless entertaining remixed level pretty challenging,1,original,metacritic_critic,slow
teslapunk simply not recommended form fantastic idea scoring system everything else simply unappealing,0,original,metacritic_critic,slow
since seen movie unique fresh full review spanish,2,original,rotten-tomatoes_critics,slow
refreshingly unique aesthetic well written story challenging gameplay banner saga excellent adventure well worth time,2,original,metacritic_critic,slow
weird way weakness shore bona fides romance love irrational love lift u belong love throw u misty pit full bio experiment gone horribly wrong,1,original,rotten-tomatoes_critics,slow
come enjoy tom hardy acting crazy slick visuals likely disappointed level,0,original,rotten-tomatoes_critics,slow
hard remorseless soul crushingly depressing also must play game,2,original,metacritic_critic,slow
assassin creed liberation game tremendous amount potential never fully realizes time border brilliant capturing essence console classic looking good yet others disappointing mix novelty control frame rate issue weak storytelling,0,original,metacritic_critic,slow
fresh diablo like game consumed power finish line see barely limping hopefully last adventure van helsing mediocre not offer anything new see moreover considerably linear put simply third episode ran steam lack drive ordinary hack n slash game,0,original,metacritic_critic,slow
technomancer yet another valiant attempt ambitious rpg recent game done much better,0,original,metacritic_critic,slow
respect movie bold swing found visually mesmerizing end play like unsatisfying epilogue first film,0,original,rotten-tomatoes_critics,slow
satisfyingly challenging longevity awaited dlc leaf u disappointed,0,original,metacritic_critic,slow
reduced generic cartoon team mystic dimension hopping action movie barely function,0,original,rotten-tomatoes_critics,slow
ghost agatha christie alfred hitchcock flit mischievously around papal thriller film set almost entirely one location everyone vastly different reason guilty avarice least,2,original,rotten-tomatoes_critics,slow
true proto gothic horror piece neverending nightmare feel like hellish walk unpublished edgar allan poe short story excellent sound design unsettling stylized visuals provide experience linger player long end credit rolled,2,original,metacritic_critic,slow
great action packed strategy game not taking serious no avail one throw straight wave orcs enjoy quite immensely regardless gamer type tower defense lover action shooter fan flaw see absence level editor multiplayer maybe brought promised dlc,1,original,metacritic_critic,slow
point merely observe ordinary life stilted plainly manipulated point technology beyond mere existence,0,original,rotten-tomatoes_critics,slow
not exciting terrible either unfortunately end category movie watch plane nothing else marvel fan definitely give watch,1,original,rotten-tomatoes_critics,slow
absolutely need look fanciest graphic simply hate weird japanese humor touch katamari not however anyone handle title offer gameplay addictive struggle put despite flaw,1,original,metacritic_critic,slow
professor layton azran legacy offer little innovation surprise still charming entertaining ever fitting end legacy perplexing brainteasers,2,original,metacritic_critic,slow
not everything work stretch film seems really spin wheel hit hit,1,original,rotten-tomatoes_critics,slow
despite obvious flaw reactive story compelling character make one best storytelling experience current generation,1,original,metacritic_critic,slow
broken sword serpent curse good adventure delivers captivating story great character humor,1,original,metacritic_critic,slow
quotation forthcoming,0,original,metacritic_critic,slow
strangely satisfying way flavorful almost purist single minded focus delivering empty entertainment calorie,1,original,rotten-tomatoes_critics,slow
movie magical,0,original,rotten-tomatoes_critics,slow
mighty fine bite size battlefield experience take franchise synonymous military shooter establishes new territory battlefield hardline not grand epic perhaps expect core battlefield title certainly damn fine alternative,1,original,metacritic_critic,slow
wickedly funny not afraid make work yooka laylee diabolically fun june p,0,original,metacritic_critic,slow
perhaps unsurprisingly pokemon alpha sapphire omega ruby innovate good job bridging gap old new,1,original,metacritic_critic,slow
eventually run gas sonic hedgehog still lot pep step no finish line sight,1,original,rotten-tomatoes_critics,slow
russos carved modern notion heroism generation weaned iron man glowing breast cherry prof much russos learned hero deconstructs content pocket cargo pant called male identity,2,original,rotten-tomatoes_critics,slow
end film lack imagination unfortunately wind dragging mud,0,original,rotten-tomatoes_critics,slow
whitman sampler film genre delightfully sweet center belies freaky packaging,2,original,rotten-tomatoes_critics,slow
plenty keep even ravenous marvel disney fan busy long time,1,original,metacritic_critic,slow
project x zone smash fest several high profile series meet together gorgeous looking tactical rpg indispensable game follow series featured could prove repetitive moment dedicated player attracted giant amount fan service display plenty,1,original,metacritic_critic,slow
hesitate call game year contender vita need title like velocity game equally effective experienced short burst move kind marathon session tablet smartphones not compete,1,original,metacritic_critic,slow
grabbing latest hockey game annually habitual picking daily tim hortons nhl bring great three gameplay mode advanced stick maneuverability expanded franchise functionality little address play play commentary single player campaign microtransaction concern great pick first time year not big step forward year year fan,0,original,metacritic_critic,slow
hard recommend dmc definitive edition everyone already played original title still great action game blessed new graphic definitely must missed two year ago,1,original,metacritic_critic,slow
old saying never much good thing false heart stone offer much new game second expansion supposedly meant feature not necessarily bad thing heart stone give player another reason dive back world enjoy story lie within,2,original,metacritic_critic,slow
lego formula may growing tired point lego dc super villain still one best game tt game produced excellent use dc licence,1,original,metacritic_critic,slow
different man slog made worse fact seems mistake darkness insight,0,original,rotten-tomatoes_critics,slow
frustration lost sea charming simple basic core,0,original,metacritic_critic,slow
kind action fantasy spectacular expected marvel brave new world non starter often feel closer tv procedural,0,original,rotten-tomatoes_critics,slow
key williams need entertain primal primal triumphed self doubt depression addiction surprise nobody film produced narrated williams entertaining,2,original,rotten-tomatoes_critics,slow
extends concise hilarious film much longer less consistent interactive experience sometimes dip boring territory solidly enjoyable nowhere near awesome,0,original,metacritic_critic,slow
last day june great example turn short tale engaging interactive experience one importantly not overstay welcome may one two frustration along way tug heart string right place story front also engages brain gameplay side thing enough make everything feel extremely satisfying reach conclusion,0,original,metacritic_critic,slow
remember multiplayer meant friend multitap towerfall ascension fill glee healhty dose old school adversarial local multiplayer fan game like powerstone super smash bros already towerfall ascension library,2,original,metacritic_critic,slow
interstellar imaginative movie heavy handed mix personal sacrifice theoretical physic leave much room subtle storytelling,1,original,rotten-tomatoes_critics,slow
expression listen read phone book might well rewritten forthwith watch venom movie,1,oversampled,rotten-tomatoes_critics,slow
lily rose depp ignites screen bill skarsga rd terrifies transylvanian bloodsucker resembling decaying human corpse intoxicating film slowly seduces viewer erupting repulsion one best film,2,original,rotten-tomatoes_critics,slow
lack interaction wii u version huge disappointment removal asset like mystery mushroom make version feel like lite version also bizarre nintendo include effect flip side inclusion exclusive nintendo created level pretty cool without doubt played wii u version game absolute must,1,original,metacritic_critic,slow
interstellar not christopher nolan best film say deny ambition,2,original,rotten-tomatoes_critics,slow
apart optimization issue dead rising still lot fun,0,original,metacritic_critic,slow
hardcore fantasy fan appreciate old school animation la heavy metal one definitely casuals may find little ponderous little connection lotr hobbit movie,1,oversampled,rotten-tomatoes_critics,slow
visual splendor not entirely make failure plotting characterization,2,original,rotten-tomatoes_critics,slow
definition bitter sweet giving one hand taking away default best side scrolling platformer yes even better original new super mario bros came six year ago time really expected series progressed little effect coin rush mode,2,original,metacritic_critic,slow
track expertly designed ensure always toe always challenged driving track track absolutely beautiful refreshing experience year location fia rally championship tour sore spot namely lackluster career mode issue pace note overall unrivaled experience rally genre v rally game worth experiencing kylotonn game every racing fan radar release,1,original,metacritic_critic,slow
warrior offer lot action fire emblem series fire emblem offer tactic warrior game make button bash lot entertaining,1,original,metacritic_critic,slow
dunno thought bold audacious madness breaking song moment notice credit creative team something completely different laying bare deficiency america magnificent obsession,2,original,rotten-tomatoes_critics,slow
endless waiting worth although second episode much shorter first one pace humor still game able entertain beginning end tale borderland pointing great success entire first row come,1,original,metacritic_critic,slow
super smash bros ultimate one complete fighting game thanks plenty game mode content addition pay tribute video game without equal make transcend shine essential game nintendo switch owner lover video game general,2,original,metacritic_critic,slow
set intriguing premise fails deliver potential especially second half,0,original,rotten-tomatoes_critics,slow
nba live solid tip toe towards think could great competitor basketball video game world even though one excellent played everything else lacking feel phoned ea put much effort innovation mode one real contender best basketball sim please please change shot meter,0,original,metacritic_critic,slow
nutty bloody howlingly funny well substance going filmmaker actor would ever dare go,2,original,rotten-tomatoes_critics,slow
war chest incredible disappointment given strength series point exciting licence within,0,original,metacritic_critic,slow
farming sim good enough full thing work deserves chance,0,original,metacritic_critic,slow
mackie also adequate captain america vacant non character grating sidekick falcon corny quipping robin batman implacable marvel machine proved unfortunately time not charm,0,original,rotten-tomatoes_critics,slow
gorge glorious piece escapism could use day age,1,original,rotten-tomatoes_critics,slow
late night devil clever combo showbiz satire satanic scare take pay worth wait,1,original,rotten-tomatoes_critics,slow
contrast energy level two time period prof draining experience clunky one liner severely clashing excitement fast paced momentum ambitious exhilarating roof top parkour sequence,1,original,rotten-tomatoes_critics,slow
audience taken wicked part inclusive theme joie de vivre film really malcontent,2,original,rotten-tomatoes_critics,slow
noteworthy special effect movie screen summer none better johansson accent affect smoothly shift ditzy southern belle tough manhattanite whatever take get job done,2,original,rotten-tomatoes_critics,slow
kind cross cultural mash might intriguingly baffling less norm present day hollywood,0,original,rotten-tomatoes_critics,slow
one best game one best game generation masterpiece,2,original,metacritic_critic,slow
complete unknown flaw nonetheless dylan fan embrace chalamet humanizes living legend make accessible hopefully allow people discover embrace iconic musical genius,2,original,rotten-tomatoes_critics,slow
marvel v capcom infinite already one compelling fighter quite time address genre biggest problem many creative way keeping play interesting returning fan gulf skilled green large enough fighting game community become infamously insular infinite prof basic accessibility need not come sacrifice depth,1,original,metacritic_critic,slow
flawless gaming mechanic thoroughly interesting story action poke stick uncharted golden abyss not showcase p vita easily one best adventure game portable platform must title,2,original,metacritic_critic,slow
shame see series fizzle like point want nintendo bring game switch mario party may breath fresh air series desperately need stay relevant work may time nintendo nd cube finally put great series rest,0,original,metacritic_critic,slow
errant ax land alba thigh film go inept kind brilliantly bad teachable moment though lesson learned may vary,0,original,rotten-tomatoes_critics,slow
oriental empire solid detailed first effort shining pixel studio fan strategy genre enjoy unfortunately newcomer veteran alike might disappointed unwieldy ui unpredictable system lack game tutorial explanation,0,original,metacritic_critic,slow
tom happ delivered true metroidvania game world huge offer something discover around every corner game not challenging control could better still must switch,1,original,metacritic_critic,slow
gripe aside less fun game full price arcade basketball game replay value nba playground attracts surface brings different yet inconsistent experience table somehow still manages fun leveling player card playing legend landing awesome dunk main attraction enough nostalgia combined entertaining aesthetic make nba playground worth look basketball fan,0,original,metacritic_critic,slow
trackmania turbo amalgamation arcade racer year attention detail really shine,1,original,metacritic_critic,slow
building drama personal sacrifice feel much like cheat no matter many ending tacked credit,0,original,rotten-tomatoes_critics,slow
co writer director john francis daley jonathan goldstein strike right tone go long way,2,original,rotten-tomatoes_critics,slow
