text,sentiment,source,datasource
simplistic classic fish water story tokyo businessman buy ranch montana lofty goal soon learn true power friendship order save movie lot charm interesting directorial choice script performance maybe little plain respectful exploration cultural difference pointing humor without making one culture butt joke said obvious writer actually familiar cowboy culture plain state characterization aesthetic feel bit inconsistent end day serf crowd pleasing message not deep one,1,original,medium
think animated feature could better wild robot saw flow beautiful exciting heartbreaking without dialogue movie stayed heart week,2,original,medium
wonderfulll sooo cool,2,original,medium
kind movie hollywood making shine light trafficking big studio not touch maybe hollywood complicit must see,2,original,medium
definitely worth watch like horror film found footage type style read review said ending felt like cut short think ending could better still splash,1,original,medium
informed must wait deal went back thru drive time informed wait exactly finally got order thwy also screwed hash brown werent polite anything made feel unwelcomed,0,original,medium
never listen critic watch whats surface,1,original,medium
movie bit different liked way built became romance story interesting middle piece character survive chaos eventually make exciting formulaic movie effect great action scene not gory view creature involved ending bit shrug shoulder survive interesting miss suspense build good,1,original,medium
absurd behavior first pilot severe storm not following basic protocol well crew forced situation fit supposed drama shoukd miracle butler way carreer accepting trashy script not,0,original,medium
like john wick steroid,1,original,medium
eat halal food fillet fish good choice u price high though,1,original,medium
not idiotic gone girl close thing movie kinda ok end although obvious problem lack character arc ben affleck character lack activity police etc fyi care book say rating movie different medium execution ending terrible feel like director writer quit producer decided leave instead working good ending good thing movie always ana de armas breathes interest fun every movie breath fresh air not even save incompetence writer,0,original,medium
fresh fry,1,original,medium
no change food standard mac restaurant people come asks help money,1,original,medium
quite literally one worst mcdonald ever staff incompetent unfriendly get order right food old manager room resort advise guest detour location,0,original,medium
gorgeous production captivating narrative tremendous acting glad saw big screen almost senior citizen rate one top cinema experience,2,original,medium
always getting order wrong,0,original,medium
absolutely brilliant yes must see see first three first,2,original,medium
almost three hour present interesting enough story go really quick although technology movie decade not century away one part stray boundary science risk spoiling rest great story,1,original,medium
love stuffy critic make sophisticated sentiment heartfelt bittersweet movie anything touch pure emotion leave many cold clearly forgotten comfortable thinking back childhood anything objective lens quite sure like movie walked thinking going pithy shallow ha ha movie shaking head marketer wrote trailer lacked heart film honestly feel little duped seriously doubt watched movie not crier looking bit mindless entertainment amazon prime went bed realized minute not type film see resolution coming thoroughly enjoyed every nuance sentiment great laugh plenty tear later felt cleansed full hope gratitude best thoroughly unexpected gem movie blow toy story water,2,original,medium
beautiful movie glad chance watch big screen,2,original,medium
much long waiting crowded,1,original,medium
waste time,0,original,medium
love morning staff always make feel good pull morning coffee est great job team,1,original,medium
clean professional staff location busy hwy good weighed bad,2,original,medium
quick,2,original,medium
kept engrossed beautiful creepy exactly looking lately,2,original,medium
seamlessly integrated real achrival footage top tier cinematography edge seat whole time highly recommend,2,original,medium
funny packed great comedy action scene,1,original,medium
mindlessness bit badly done action whole ton bad comedy line want love,0,original,medium
bad manager employee cussing fussing front customer spanish poor customer,0,original,medium
great place clean,1,original,medium
best movie far year amazing actor,2,original,medium
ok fast st drive breakfast sandwich always seem far less hotter hash brown make not want eat,1,original,medium
order tablet screen told take number table would brought never brought go ask counter minute later,1,original,medium
know not every fast food serf great service mcdonalds plus offered speedy service,2,original,medium
ed norton great pete seeger error movie make assuming pretend actor second rate musical performance believable bob dylan time machine replaced bob dylan timothee chalamet musical performance would left nyc month became teacher hibbing acting fine performance baez character quite poor,0,original,medium
well pretty sure seen three one remember grading based love child really cool little even though viewing cheesy get pretty fun though hulk hogan,1,original,medium
not entertaining except visuals,0,original,medium
champlain much better drive correct orsers,2,original,medium
told wait mnts said closed not hour bad service,0,original,medium
could give zero star would went time recently mess every time rude people would recommend staying away location checker across street would recommend,0,original,medium
due corona virus takeout used drive thru service order app pick counter seems convenient pity phone support,1,original,medium
went drive threw ordered sausage mcgriddle burrito hash brown everything hot except mcgriddle completely cold warm microwave got home called store spoke manager situation,0,original,medium
undergoing renovation corporate location not franchisee,1,original,medium
friendly staff food good,1,original,medium
child great movie great performance tom hardy gary oldman bit long story compelling tom hardy part stalin secret police service wife named traitor refuse brand get exiled meantime serial killer prowl looking young boy taking body part hardy keep secret police back looking put end serial killer definitely check one,1,original,medium
another direct sequel cashing great franchise name,0,original,medium
tom incredible film,2,original,medium
huge disappointment loved graphic novel knew would miss soon heard big star attached not kind story interesting experiment failed one,0,original,medium
mcdonald nothing expect eaten life staff friendly cheapest place eat south beach,1,original,medium
busy staff literal hero,2,original,medium
great animation story little boring,2,original,medium
truly lofe changing,2,original,medium
drive thru went pretty quickly crazy location,1,original,medium
think lot better saying still gripped hardy bit iffy accent story bit pedestrian shame source material rich man trying solve series child murder whilst working soviet government deny happening newly created paradise,1,original,medium
ordered filet fish w extra tartar got filet fish regular tartar sauce no cheese slice slice tomato suppose tomato filet fish another visit ordered large fry soft drink waited minute mean hard could,1,original,medium
one best mcdonald place clean get quite bit traffic parking tight drive thru hr short staff mostly young professional represent well great fast food,2,original,medium
cracking cinematography good editing sixty dated not wild typical sixty liberated enjoy sexual awakening school rape fantasy convinced cod philosophy excuse load bare flesh nothing eroticism even basic prurience unimpressed sixty value think worth watching flavour decade pretty not film taken terribly seriously,0,original,medium
hyped expecting,0,original,medium
one worst action movie seen enjoy thing happen believable way character get injured die really basic thing probably happen real life pilot real life walking airplane emergency cabin staff plane get struck lightning time built three redundant system airplane look believe co pilot nothing pilot shot beat whole point co pilot take last commercial airline not bullet proof offer no protection bullet plane somehow,0,original,medium
check box pas drive thru half order find,1,original,medium
movie try anything slow unraveling mystery end twist turn would expect built around editing meticulously building tension film go direction make movie worth watching,1,original,medium
incredably fun funny movie film made love deadpool villain incredable real criticism excessive gore point besides one best film give,1,original,medium
great fast friendly service everytime come,2,original,medium
best consistent mcdondals bay area nugget always crispy fry always hot burger always juicy,2,original,medium
aish looking gorgeous story suck time machine concept cudn impress audience long story short zor ka jhatka dheere se laga expecting great story anyways nice costume colorful song gud number,0,original,medium
dialog priceless anyone love sergio crazy,2,original,medium
jet express great driver good price good timing,2,original,medium
extremely slow service one cashier multiple people working slowly back line door drive wrapped around building avoid late night,0,original,medium
surprisingly good dramatisation duke pornstar sensation year ago college student turned porn became provocative figure outspokenness confidence exposed ton middle class hypocrisy critique everything exploding college tuition misogyny backwards attitude towards sexuality film replay drama nicely illustrates idea stake not neglecting high personal toll took miriam week,1,original,medium
know jewish people good not good evry film abot make suffer actor story,0,original,medium
bad management always forget give food,0,original,medium
best psycho thriller ever seen,2,original,medium
close easy interstate exit friendly service,1,original,medium
always nice quick meal snack,1,original,medium
deadpool v wolverine triumphant return superhero movie unfiltered fun sharp humor thrilling action without weight forced agenda film embrace unapologetic nature delivering chaos irreverence fan crave story driven character rather commentary chemistry ryan reynolds hugh jackman electric actor perfectly embodying iconic role reynolds razor sharp wit deadpool relentless ever jackman wolverine brings raw intensity gruff charm together create dynamic blend humor grit keep audience hooked,2,original,medium
everytime see movie understand something new like every time murphy law upper dimension being wormhole everything mind bogling like connection starting end movie cinematic masterpiece,2,original,medium
dont understand low rt score really good story top performing cast,1,original,medium
mcds wat trying time life mcds literally lifeline give prop although eating mcds legitimately fatal month straight not attempt,1,original,medium
plane not going change life certainly entertain hour half classical manual thriller action back back clichés gon na keep focused still butler magnetic acting nicely picked cast dale ad gaspare particularly trick,2,original,medium
better cheaper therapy,2,original,medium
overall pretty badly written not well directed scene change nothing really happens making entire story look forced,0,original,medium
forgotten order cheeseburger without onion lovely man behind counter remade no charge,2,original,medium
not great not bad worth watching long list movie watch ahead still aspect really make sense director went cheap storytelling trick otherwise enjoyable,1,original,medium
great film caught complete surprise,2,original,medium
fast,1,original,medium
enjoyable approachable anyone want fun fantasy flick,2,original,medium
level really fast service always clean friendly staff,2,original,medium
place not hour time various hour,0,original,medium
friendly staff order came wrong quickly made right,2,original,medium
similar lucy healy autobiography face nyc literati reading late much harsh graphic dramatic book google com book autobiography face html id,1,original,medium
great performance entire cast incredible production design anything help rise genre expectation standard high budget spectacle musical form,0,original,medium
pretty average mcdonald seating nice service also quite fast food pretty average get crowded sometimes suggest go knowing want bit easier employee,1,original,medium
rating garbage movie waste time,0,original,medium
teenager bad customer service worst attitude lazy bet hiring manager way considering terrible hire give place one star good person,0,original,medium
unique artistic feel like video game movie understand lacked dialogue made kind boring glad saw think rewatch definitely picked oscar,1,original,medium
worst manger ever one lack speaking arlene ledesma know said get point across understand handle customer disrespectful,0,original,medium
idea film shooting technique director made film attractive people,2,original,medium
deep water feel like full story less elongated snippet ongoing event failed marriage one eh really not good movie like main actor see kind movie affleck armas not able express potential feel like no one fun making except daughter highlight sure one horniest movie seen kind comfortable time depending belief mellow depressing tone brings momentum screeching halt quickly realize film man watching wife cheat literally everyone however said appreciate filmmaker trying something raw different wish complete cohesive story,0,original,medium
good like know lore,2,original,medium
know mcdonalds rated low item menu excluding fry drink place trash wait minute line go get quarter pounder fry miami warning not go much better place miami eat garbage,0,original,medium
ate chicken nugget surprisingly good picky nugget fry sucked soggy no salt threw away honey mustard sauce good,1,original,medium
help think much different man reminded work charlie kaufman uniquely profound storytelling different man dark comedy exploring insecurity wanting better version essentially obsession self image writing really great may start slow last hour lightning bottle uniquely funny pretty dark perceptive mask wear shed feature fascinating performance sebastian stan delivers best work however adam pearson steal show charismatic performance fully embracing face,1,original,medium
minute hour drive drive thru get,0,original,medium
average mcdonald check make sure food,1,original,medium
movie sucked as nice try robert suuuuuuucked lost investor ton money trying cute made steaming pile garbage,0,original,medium
loved beginning end nicely cast,2,original,medium
great chronicle behind scene story television broadcast hostage crisis summer olympics munich director tim fehlbaum expertly intermingled filmed scene actual video coverage suspenseful terrorist episode principal portraying production team including peter sarsgaard abc sport bigwig roone arledge john magaro ben chaplin roone operation head forced make split second strategic decision wonderful leonie benesch marianne gebhardt production team invaluable german interpretor happy say filmakers included memorable broadcast clip great wide world sport announcer jim mckay kept massive viewing audience informed detail crisis sad conclusion extremely well done,1,original,medium
terrible never know shooting could watch minute recruit nobody work team disaster waste time,0,original,medium
parable modern life,2,original,medium
plain horrible minute sitting drive thru taking order one car time,0,original,medium
ignore critic great film love marvel,2,original,medium
good funny violent movie best thing,1,original,medium
functionally strange family film plot adult level humor language mechanically mess thing happen plot seemingly thousand word explores nothing new particularly entertaining,0,original,medium
great service,2,original,medium
one favorite broadway show much made say dancing west side story always thought artificial dancing lthe lyric music intensify drama amazing degree naturally critic thought sentimental lot say,2,original,medium
pretty busy kind random clientele also specific hawaiian pie visited,1,original,medium
not go tried day row not go not get order right drink machine not work,0,original,medium
placed order app ready timely manner,2,original,medium
boring plot good looking woman meet handsome rich guy insatiable sexual appetite hesitates end falling blah blah blah american predictable shallow,0,original,medium
although production cast special effect good film fall face story weak directing sub par editing horrendous always videogame adaptation rise question use original material even soundtrack game ten time better,0,original,medium
take minute go damn drive,0,original,medium
take forever get breakfast every time inside,0,original,medium
bad service recommend go minute waiting order nobody say nothing,0,original,medium
food hot order came ordered however no pop okay would go back sure,0,original,medium
fast service time hot food,2,original,medium
love avenger star cast,2,original,medium
fast service type kiosk order thing restroom least find,1,original,medium
kept trying give wrong item not speak good english food hot though finally got right stuff,0,original,medium
breakfast special good sausage burrito sausage mcmuffins egg freshly cooked wanting try spam egg rice visit rice cooker working,1,original,medium
wow blast past movie seen year remember loving back maybe loving lead male toss wish dvd,1,original,medium
movie one greatest multi main character action movie time,2,original,medium
not great fan mcdonald drive thru quick food expected,1,original,medium
fast service good product,1,original,medium
good place drive thru sometime busy,1,original,medium
truth film investigating two female character really bad plastic surgery deborah unger lara daans appeared screen scene set ecuador would swore watching david attenborough wildlife documentary baboon,0,original,medium
service decent not crowded got,1,original,medium
cold fry,0,original,medium
different loved,1,original,medium
horrible acting horrible script thought plot twist actually ended laughing bad movie rest,0,original,medium
excellent movie outstanding performance,1,original,medium
sometimes cant handle order far good,1,original,medium
nice mcdonald close santa monica pier busy fast service,2,original,medium
terrible service minute breakfast serve u anything bad service took minute get drive not fast food quality worst mcdonald ever,0,original,medium
love food,2,original,medium
loved photography film egger taste classic realistic aesthetic definitely sublime,1,original,medium
moving heart wrenching time non hollywood film reveals dark truth child sex trafficking yes writer liberty taken far dramatic ending actually happened message clear denier want ignore dark secret child soul need watch movie,1,original,medium
feel good movie right balance comedy romance,1,original,medium
rate highly absolute unwatchable garbage,0,original,medium
great performance actor story shocking original not expecting end laying sat suddenly surprise last part movie go want spoil story also slow rhythm get made viewer know understand character line decision make feel long exhaustive conclave certainly little slow still good idea nice movie perfect performance,1,original,medium
almost go cinema one heard mixed review glad went made mind dream like heavy atmosphere lot clunky wooden flooring door cast unbalanced big name no offence better since seen audience flinch time closer style original seen theatre screen preferred kinski version anything liked longer film could seen plague scene,2,original,medium
super relatable real tear jerker honest cute movie cute story seems tad questionable regarding storyline decision overall nice movie time flew help feel main character great movie would definitely watch,1,original,medium
kinda bad burger cold dry figure way busy would popping hot patty like crazy no,0,original,medium
big fan lotr movie not even close story animation bad not even finish minute movie felt boring color animation nothing not even sub par horrible,0,original,medium
day ago ordered big mac meal got charged extra drink tried call no answer today went back get burger kid mentioned got charged extra drink manager rude said need see receipt,0,original,medium
clean place friendly service,2,original,medium
probably worst film ever seen people rated il never know bad start finish looking name rated look like paid review,0,original,medium
watched netflix wrote director year old son,0,original,medium
excellent movie kind would no problem watching plus time nothing usual netflix went ipad watch free movie vudu many good movie particular movie pique interest first minute got hook line sinker would suggest watch movie see keep hooked never heard movie thank god found good movie covid,2,original,medium
mcdonald neccessary evil day roadtrip,1,original,medium
like mcdonald delicious food quick service,1,original,medium
lot parking tasty coffee clean roomy restroom,2,original,medium
full action somewhat funny movie,1,original,medium
good attention fast,2,original,medium
another flim made sandler save world get thr girl,0,original,medium
typical,1,original,medium
food fresh,2,original,medium
family really looking forward seeing movie really enjoyed,2,original,medium
wait long good cheap food friendly staff,1,original,medium
different enough,1,original,medium
good food clean near time square area,2,original,medium
thought tom hank stranded island volleyball funny italian original showed running sociopolitical commentary raw take stereotype make funny disturbing drama think lord fly mixed blue lagoon slice eternity thrown unreal unkempt hair haughty dialog may ugly least sand sea really pretty,1,original,medium
one best mcu film epic entertaining fun,2,original,medium
terrible avoid mcdonald terrible service incorrect bill charge bad experience,0,original,medium
anyone decide movie good idea odd ridiculously bad writing dialogue idiotic time try humourous fails miserably try serious work either chaning tatum uniquely terrible difficult watch movie truly terrible never made positive review must faked,0,original,medium
use mobile app pull park spot five minute later food,2,original,medium
british never problem many visit florida person taking order understand asking frustrating seeing language almost identical,0,original,medium
first saw movie loved think one worst movie,0,original,medium
already written review place bit update girl taking payment first window glass dark hair rude nugget ordered warm taste sitting top gave opened buffalo sauce,0,original,medium
check bag,1,original,medium
dead zone cell service odd,1,original,medium
great family member,1,original,medium
location always running no matter time day food always fresh service usually fast ever mess order usually right give fresh new order location renovated recently everything brand new no longer child play area much sit restaurant style mcdonald,2,original,medium
honestly great mcdonald fast hell give guy prop keep working hard guy,2,original,medium
time today asked cappuccino without sugar gave sugar time asked cappuccino mentioned not able machine cleaning also people drive though window,0,original,medium
robbie awesome not like movie gave honest overview trial tribulation young star great music hope see robbie u,2,original,medium
fast service,2,original,medium
okay even though ordered big mac bottom bun actually middle bun,1,original,medium
love amazing suspense start finish zoom symbolism weighty message movie brings amazing equal god law not equal man law brings reflection humanity good evil showing evil everywhere good,2,original,medium
not single original character let die first one,0,original,medium
food cold forgot item food replaced star afraid,0,original,medium
know movie beaten many time already add pile bad huge fan book several decade maybe taint view movie right away think reason stand say one embarrassing attempt long anticipated film think ever seen first dark tower story huge really complex way tackle beast start story small build greater overarching story not movie attempted gazillion little hint sort component bigger thing allow audience get immersed conflict story smacking battering ram detail mean nothing earned right mean anything basic story telling attempt another reboot series really ought start roland back story book wizard glass book drawing three pull fellowship second matthew mcconaughey right right bad nothing actor great role problem overdid character reason man black intriguing book shrouded mystery roland get tease time movie attempt flesh character lot work often interesting villain identify not played instead like showing boogeyman soon horror lose fear soon third ka tet completely eliminated eddie dean susannah holmes oy would like lord ring frodo samwise no fellowship feel like cutting budget much movie work could write book would say simply bad adaptation book truth piss poor attempt adaptation ever seen horrendous one really think work standalone movie thoroughly disappointed sadly think deter lot producer trying try money big project certain hope someone try though hope learn mistake failed attempt,0,original,medium
not big mcu fan no idea kraven said enjoyed beastmaster esque hero bad dad story fun weekend watch,1,original,medium
bully must made hollywood green light train wreck flick,0,original,medium
clean space ok service downfall missing item order happened several time location ordered meal almost forgot drink come ask got home checked bag no fry bag burger bag dis,1,original,medium
slow worst customer service place dump loose clientele shorty slowest mcdonalds ive attende everytime go,0,original,medium
fast food say,2,original,medium
thought great sequel lot action gore would given extra point character wanted endeared acacia queen wife died think deflated movie bit performance good gladiator paul mescal denzel washington performance great,1,original,medium
movie actually great low point really think not red hulk could shock value movie air fight sequence perfection,1,original,medium
boring boring boring acting awful top boringness,0,original,medium
good food amazing people,2,original,medium
one star idris elba one star matthew mcconaughey one star good action scene pretty chick mildly entertaining story else laughable ya cheese,1,original,medium
daughter friend particular mcdonalds visiting boardwalk town visitor roach place big place not clean homeless people surrounded place never go back already told lot people headed way,0,original,medium
location easy get employee kind professional,1,original,medium
seen quite movie time good bad alright rarely ever watch movie bad get urge kill puppy hack saw one movie human expression not describe bad film perhaps worst film time sex barbara streisand would enjoyable watching movie,0,original,medium
top new clean nice time,2,original,medium
la película e buena te divierte mucho yo la vi con mi amigo la verdad no gustó mucho mi top personal de la franquicia transformer transformer dark moon bumblebee transformer transformer rise beat transformer revenge fallen transformer age extinction transformer last knight,1,original,medium
story good actor matter work,2,original,medium
unless really strange bizarro film like blair witch advise acting great hated ending would camera men keep filming hum,0,original,medium
slowest service ever,0,original,medium
captivating new universe wait next chapter,2,original,medium
busy half decent,1,original,medium
see movie underrated ok scene predictable beneath not tom hardy also noomi rapace made good perotel room wolsk tell married actor strong performance claim exactly book ever claimed critisize writing two sentence claim insult intelligence insult intelligence write without prove worth star rating miserable get star,2,original,medium
wish learned cook chicken sandwich love getting chicken sandwich morning burned taste good even burned one asked remake,1,original,medium
fast service many option,2,original,medium
convoluted confusing story redeemed somewhat dakota fanning measured performance not recommended,0,original,medium
loved must funny somehow sad beautiful see actor made bridget jones icon back love movie amazingly enterteaining make laugh cry miss fantastic shame not movie theatre,2,original,medium
recently finished normal people hulu star paul play lucius gladiator incredible normal people really enjoy well not sure acting skill getting criticism seems denzel getting accolade found american accent bit putting character big bad definitely star opinion twin emperor level villainous joaquin phoenix probably needed denzel enjoyed pedro wonderful see connie back original role not good original still enjoyable much better expected,1,original,medium
mcdonald,2,original,medium
visited kid decided go mc drive got turn waiting nobody answered left check happening inside kind restauration full staff nothing left,0,original,medium
hartnett best actor,2,original,medium
slowest drive ever waited minute smh waste time,0,original,medium
always fast order ready,2,original,medium
could cool movie barely give backstory character lack depth someone asked movie went go see literally forgot name forgettable,0,original,medium
great mcgriddles,1,original,medium
rude stupid manager employee,0,original,medium
ever time come lunch end spending waiting food,0,original,medium
employee quite rude rude place clean food ok kind cold,1,original,medium
character never really connect much wanted love interest unbelievable story forced terrible much better movie watched waste time one,0,original,medium
drive quick fastest experienced many year think nascar pitstop order accurate food fresh tasty,2,original,medium
surprisingly fresh enjoyed romantic comedy aspect well slasher bit even liked twist fun watch doubt watch,1,original,medium
word say send ripple world think concept movie good made laugh however think weak part ending overall think good movie would recommend people talkative like hehehe,1,original,medium
mcdonald staff nice clean service generally fast,1,original,medium
no one expecting john wick type film went no expectation dave bautista latest film admit lot entertaining film cheesy sometimes dumb sometimes cliche lot fun,1,original,medium
review dont seem know black comedy enjoyable movie,1,original,medium
mixed count,2,original,medium
overall ok acting could better plot tad clumsy action sequence good nothing great overall catch theater may worth ticket,1,original,medium
get anything eat time close lobby go drive thru cause motorcycle kind dingus close half store customer old town,0,original,medium
little slow getting order nice hot fresh,1,original,medium
really hopeful would enjoy movie wife fan star although think acting good really disappointed storyline cinematography terrible wife ended falling asleep halfway strongly recommend avoid one not well done,0,original,medium
wow stupid nah yea stupid watch movie dramatic scene oscar performance well stupid movie keep real name naked mile lot nakedness run something yeah not good joke watch knew exactly would,0,original,medium
cringeworthy hwak thuhh ruined night totally,0,original,medium
probably update coveted three star review go eat work dinner spaghettios not pissed apparently kid employee counted two less mcdoubles paid guess guess seriously four french fry instead five stole fry like last time ordered fry dad get burger fry cool maybe drive couple mile rush hour traffic complain location always problem person care think pizza night need often no wonder big fast food place going business clairemont,0,original,medium
animation fantastic love movie flood cat animal surviving boat leading adventure trying find land no dialogue need dialogue sometimes enjoy movie loved animal interacted helped epic fantastic movie hope win best animated best international movie oscar,2,original,medium
busy service nice touch menu need update order frappuccino extra caramel,1,original,medium
ok not fastest no play area not best neighborhood lot loitering drive open late generally quick often accurate,1,original,medium
boob pussy dick sex pile terribly acted shit offer,0,original,medium
well least say feel really good watching face tear joy beautiful unpredictable sexy grotesque mixed one,2,original,medium
well clean good food recomend number mcgriddle,2,original,medium
movie amazing love,2,original,medium
average fast food restaurant service cleanliness,1,original,medium
awful condition restaurant,0,original,medium
place not clean first walked heard yelling waitress saying many insect,0,original,medium
disappointed,0,original,medium
story really good cuba berenger well like one,1,original,medium
one weaker movie franchise rushed human worst part little development unicron best part movie far amazing voice acting done colman domingo scourge ok think optimus primal good addition franchise not best writing wise definitely not one need watch not bad,1,original,medium
wasted time gas coming place claim closed,0,original,medium
really ridiculous coming every day breakfast branch care customer satisfied every morning ordered hot coffe gave cold one happened,0,original,medium
main villain not written well also min movie would better cut really enjoy rest movie tough,1,original,medium
understand not horror scary prosthetics make interesting best lot red fluid sprayed everywhere pretty much movie,0,original,medium
loved makeup costuming special effect little lax music made,1,original,medium
cold fry yuck,1,original,medium
sad see people giving bad review accept premise actually well made lot fun,1,original,medium
first minute sex drug club boring rest way long flick f bomb fighting searching random club minute relief parent showed wanted leave midway sooo glad believe got best picture bar lowered,0,original,medium
not know critic watching movie went head tell course critic today give great review worst movie not listen movie great well written well acted plot line great story arch,2,original,medium
say mcdonald home best fry,2,original,medium
service good,1,original,medium
wow quickest minute ever spent remember event remember ended roller coaster emotion inside look tv technology john magaro outstanding,2,original,medium
movie amazing,2,original,medium
great actor action packed funny mysterious good ending unexpected,2,original,medium
bridget jones mad boy definitely emotion driven bridget jones film still balanced plenty laugh charm renée zellweger delightful onscreen presence resulting not satisfying touching final chapter also best film series since original,1,original,medium
good fast service went ange cl awesome da drive thru back soon,0,original,medium
spam egg rice rice nice soft egg bid hard great,1,original,medium
love macdonald,1,original,medium
absolutely loved watched many time favorite movie,2,original,medium
understand people think good whole plot police not working together undermine make no sense nothing movie acting unbelievable emotion shailene woodley cringe throughout no reason cop let alone working fbi save hour skip,0,original,medium
good food fast fresh friendly attitude,1,original,medium
im lactose intolerant asked sausage burrito no cheese gave one without cheese one cheese no fun,0,original,medium
eat mcdonald usually bit town come location bex food fresh,2,original,medium
liked teenager,1,original,medium
acting storyline enjoyable,2,original,medium
reliable know coming know exactly expect,1,original,medium
one greatest movie ever watched truly tugged heart string music bond formed character throughout film story line originality film played massive part opinion complex link story truly grasped overall love film truly amazing emotional overall impeccable movie,2,original,medium
far mcdonald chain restaurant would go say decent location really mcdonald know much could realistically expect place like know fast food chain food par mcdonald drive thru relatively quick good,1,original,medium
helpful staff tasty food top mcdonald,2,original,medium
surprisingly enjoyable well paced well acted true genre thriller plot hole kill made violent among others however not enough suspend belief perfect want watch something,1,original,medium
weak adaptation alexander life although burton good usual,0,original,medium
rude employee unexpected honest,0,original,medium
horrible customer service messed order lady took order rushing rude attitude even listen wanted kept staring almost forced get something easier menu ordered somet,0,original,medium
confusing uneventful movie hopefully shyamalan evolves descent filmmaker father done lot trash sixth sense alone make special,0,original,medium
really slow service crazy long line morning expect paying customer numbered homeless,0,original,medium
first avenger something special always love first mcu movie ever saw theater entire movie awesome,2,original,medium
good service,1,original,medium
every thing film perfect acting score everything nolan truly master film film best demonstration without doubt,2,original,medium
many comedian use movie,0,original,medium
acting cgi main actor good actor know happened music edit wow not watched whole thing,0,original,medium
absolute dog shite laughably bad poor caliber writer shine every piece dialogue scenario not mention plot plain idiotic monster not really scary intimidating dumb behavior conception design shite film movie like embarrassment cinema not even two charismatic lead actor salvage,0,original,medium
sat elektra warrior even waterworld give minute start wanted meet kingsman type vibe terrible academy award winner nominee plus mark wahlberg thing still unwatchable aliexpress started motion picture production company would netflix chinese,0,original,medium
time take long get order far mcdonald,1,original,medium
newly renovated beautiful dinning room great tasting food,2,original,medium
magnolia mcdonalds best service fewest misyakes,2,original,medium
fry overcooked hard greasy manager brought food u spilled drink never compensated not returning far worst mcdonald ever team good team leader place bad team leader,0,original,medium
ate last mac hamburger life promise never,0,original,medium
plot twist keep guessing really enjoyed benicios performance,2,original,medium
others far food patron wise lot interesting character around,1,original,medium
everyone opinion no one right wrong cool thing personal opinion loved movie could better hell yeah action scene great character relateable,2,original,medium
amazingly beautiful entertaining movie shame yet receive attention accolade deserves story acting music cinematography effect phenomenal definite must see,2,original,medium
mcdonalds great sure thing know expect today surprised new burger caught eye spain inspired burger hesitant buy new well could great ruin lunch took chance aaand oh goodness sooooooooo yummy mean yummy hardly touched delicious fry well normal favorite quarter pounder cheese today spain inspired burger guess cheese sauce normally like sauce burger know combination bacon different cheese soooo good yum come back mcdonalds think sell burger mcdonalds think one safari themed one anyway really good made day happy rest meeting session normally would boring hey tummy cheerful,2,original,medium
unwatcherable kindest thing say felt pretty original beginning far many plot hole generally bad acting casting terrible score generally upsetting folk got paid lot money create,0,original,medium
never seen disgraceful service life worker rude woman cash register standing get work treat customer like dog,0,original,medium
lighten people movie lot fun sure situation predictable well executed much better expected,1,original,medium
